Sample_ID	Condition
OGFOD1_KO_1	Edited
OGFOD1_KO_2	Edited
OGFOD1_KO_3	Edited
OGFOD1_KO_4	Edited
OGFOD1_WT_1	Original
OGFOD1_WT_2	Original
OGFOD1_WT_3	Original
OGFOD1_WT_4	Original
