Sample_ID	Condition
QPRT_DEL268T_1	Edited
QPRT_DEL268T_2	Edited
QPRT_DEL268T_3	Edited
QPRT_CTRL_1	Original
QPRT_CTRL_2	Original
QPRT_CTRL_3	Original
