Sample_ID	Condition
QPRT_INS395A_1	Edited
QPRT_INS395A_2	Edited
QPRT_INS395A_3	Edited
QPRT_CTRL_1	Original
QPRT_CTRL_2	Original
QPRT_CTRL_3	Original
