Sample_ID	Condition
GRIN2B_LOF_1	Edited
GRIN2B_LOF_2	Edited
GRIN2B_LOF_3	Edited
GRIN2B_LOF_4	Edited
GRIN2B_CTRL_1	Original
GRIN2B_CTRL_2	Original
GRIN2B_CTRL_3	Original
GRIN2B_CTRL_4	Original
